pair_id,order,interest_corr,samerace,match,calls_from_female,calls_from_male,calls_to_female,calls_to_male,female_dec,male_dec,female_id,f_rate_m_attr,f_rate_m_sinc,f_rate_m_intel,f_rate_m_fun,f_rate_m_amb,f_rate_m_shar,f_rate_m_like,f_rate_m_prob,f_rate_m_met_before,f_est_matches,f_age,f_field,f_field_num,f_race,f_imp_race,f_imp_relig,f_goal,f_dat_freq,f_out_freq,f_career,f_career_num,f_like_sports,f_like_tvsports,f_like_exercise,f_like_dining,f_like_museums,f_like_art,f_like_hiking,f_like_gaming,f_like_clubbing,f_like_reading,f_like_tv,f_like_theater,f_like_movies,f_like_concerts,f_like_music,f_like_shopping,f_like_yoga,f_exp_happy,f_pref_attr,f_pref_sinc,f_pref_intel,f_pref_fun,f_pref_amb,f_pref_shar,f_genderpref_attr,f_genderpref_sinc,f_genderpref_intel,f_genderpref_fun,f_genderpref_amb,f_genderpref_shar,f_oppgender_pref_attr,f_oppgender_pref_sinc,f_oppgender_pref_intel,f_oppgender_pref_fun,f_oppgender_pref_amb,f_oppgender_pref_shar,f_rate_self_attr,f_rate_self_sinc,f_rate_self_fun,f_rate_self_intel,f_rate_self_amb,f_avg_attr,f_avg_sinc,f_avg_fun,f_avg_intel,f_avg_amb,f_avg_like,male_id,m_rate_f_attr,m_rate_f_sinc,m_rate_f_intel,m_rate_f_fun,m_rate_f_amb,m_rate_f_shar,m_rate_f_like,m_rate_f_prob,m_rate_f_met_before,m_est_matches,m_age,m_field,m_field_num,m_race,m_imp_race,m_imp_relig,m_goal,m_dat_freq,m_out_freq,m_career,m_career_num,m_like_sports,m_like_tvsports,m_like_exercise,m_like_dining,m_like_museums,m_like_art,m_like_hiking,m_like_gaming,m_like_clubbing,m_like_reading,m_like_tv,m_like_theater,m_like_movies,m_like_concerts,m_like_music,m_like_shopping,m_like_yoga,m_exp_happy,m_pref_attr,m_pref_sinc,m_pref_intel,m_pref_fun,m_pref_amb,m_pref_shar,m_gender_pref_attr,m_gender_pref_sinc,m_gender_pref_intel,m_gender_pref_fun,m_gender_pref_amb,m_gender_pref_shar,m_opp_gender_pref_attr,m_opp_gender_pref_sinc,m_opp_gender_pref_intel,m_opp_gender_pref_fun,m_opp_gender_pref_amb,m_opp_gender_pref_shar,m_rate_self_attr,m_rate_self_sinc,m_rate_self_fun,m_rate_self_intel,m_rate_self_amb,m_avg_attr,m_avg_sinc,m_avg_fun,m_avg_intel,m_avg_amb,m_avg_like
119--127,8,-0.24,0,1,,0, ,0,1,1,119,8,10,9,10,8,7,8,9,2,5,19,Polish,16,3,5,2,1,3,1,lawyer/gov.position,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,50,15,10,10,10,5,,,,,,,70,5,5,10,5,5,8,10,10,10,10,7.9,7.6,7,6.8,6.7,7.4,127,9,8,8,6,7,3,8,7,2,7,22,Mechanical Engineering,5,2,1,1,6,5,1,Porn Star,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,25,25,25,15,5,5,,,,,,,20,20,20,20,10,10,8,8,9,9,8,7.333333333,5.888888889,6.111111111,6.111111111,6.111111111,5.666666667
112--128,1,0.44,0,1,,0, ,1,1,1,112,9,10,8,8,7,9,9,9,2,8,20,Sociology,3,6,1,1,1,3,1,Social work,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,15,15,20,25,10,15,,,,,,,47.36842105,15.78947368,10.52631579,21.05263158,0,5.263157895,9,10,9,9,9,7.9,7.3,7.5,7,6.2,7.4,128,10,9,8,9,9,7,9,8,2,7,21,Engineering,5,2,3,1,1,3,2,Mechanical Engineering,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,,,,,,,25,15,20,20,10,10,8,7,7,8,7,7.555555556,8.444444444,8.125,6.875,6.625,7.222222222
113--128,4,-0.09,1,1,0,0,1,1,1,1,113,6,10,9,8,7,4,6,8,2,0,21,Economics,8,2,3,8,1,4,1,What a question!,10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,7,15,15,25,25,15,5,,,,,,,28.57142857,4.761904762,14.28571429,23.80952381,9.523809524,19.04761905,8,10,10,8,9,6.4,6.7,7,6.6,6,6.5,128,7,9,9,8,8,8,7,8,2,7,21,Engineering,5,2,3,1,1,3,2,Mechanical Engineering,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,,,,,,,25,15,20,20,10,10,8,7,7,8,7,7.555555556,8.444444444,8.125,6.875,6.625,7.222222222
114--128,2,0.34,0,1,,0, ,1,1,1,114,8,6,7,8,7,5,8,8,2,3,20,"Economics, English",8,1,2,4,2,7,4,,,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2,6,20,20,20,20,10,10,,,,,,,30,10,20,20,10,10,7,9,8,6,7,5,6.8,7.1,5.5,6.111111111,5.5,128,7,9,9,8,8,7,7,8,2,7,21,Engineering,5,2,3,1,1,3,2,Mechanical Engineering,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,,,,,,,25,15,20,20,10,10,8,7,7,8,7,7.555555556,8.444444444,8.125,6.875,6.625,7.222222222
115--128,6,-0.13,1,1,0,0,0,1,1,1,115,9,10,9,8,8,7,8,8,2,3,21,psychology,3,2,10,7,1,5,1,psychologist,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,3,20,10,30,20,15,5,,,,,,,40,10,20,20,0,10,8,7,8,9,8,7.222222222,6.333333333,6.555555556,7.222222222,6.444444444,7,128,9,7,6,10,8,7,8,9,2,7,21,Engineering,5,2,3,1,1,3,2,Mechanical Engineering,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,,,,,,,25,15,20,20,10,10,8,7,7,8,7,7.555555556,8.444444444,8.125,6.875,6.625,7.222222222
119--128,10,0.1,0,1,,0, ,1,1,1,119,5,7,,,,,5,7,2,5,19,Polish,16,3,5,2,1,3,1,lawyer/gov.position,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,50,15,10,10,10,5,,,,,,,70,5,5,10,5,5,8,10,10,10,10,7.9,7.6,7,6.8,6.7,7.4,128,9,8,9,7,8,8,8,7,2,7,21,Engineering,5,2,3,1,1,3,2,Mechanical Engineering,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,,,,,,,25,15,20,20,10,10,8,7,7,8,7,7.555555556,8.444444444,8.125,6.875,6.625,7.222222222
120--128,8,0,0,1,0,0,0,1,1,1,120,8,7,8,6,5,2,6,5,2,2,20,English,6,3,1,4,5,4,3,Writer,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,10,10,35,35,8,2,,,,,,,50,1,20,20,2,7,6,8,8,8,9,7.8,6.6,7.5,7.3,6.9,7.2,128,8,8,10,10,8,7,8,8,2,7,21,Engineering,5,2,3,1,1,3,2,Mechanical Engineering,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,,,,,,,25,15,20,20,10,10,8,7,7,8,7,7.555555556,8.444444444,8.125,6.875,6.625,7.222222222
112--129,7,0.31,0,1,,, , ,1,1,112,7,7,6,7,6,7,7,7,2,8,20,Sociology,3,6,1,1,1,3,1,Social work,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,15,15,20,25,10,15,,,,,,,47.36842105,15.78947368,10.52631579,21.05263158,0,5.263157895,9,10,9,9,9,7.9,7.3,7.5,7,6.2,7.4,129,9,8,9,10,8,8,8,8,2,5,,Economics,8,2,1,1,3,3,3,entrepeneur,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,40,20,20,20,,,,,,,,,39.6039604,20.79207921,9.900990099,9.900990099,9.900990099,9.900990099,8,8,8,8,8,6.222222222,7.888888889,6.222222222,6.625,6.444444444,6.444444444
116--129,9,0.07,1,1,0,,2, ,1,1,116,6,10,6,9,6,4,8,7,2,4,21,political science,13,2,4,1,1,1,1,if only i knew,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7,15,15,25,25,20,0,,,,,,,30,5,10,30,5,20,8,9,8,9,9,6.7,6.777777778,6.5,6.3,6.3,6.5,129,7,,8,8,8,8,7,8,2,5,,Economics,8,2,1,1,3,3,3,entrepeneur,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,40,20,20,20,,,,,,,,,39.6039604,20.79207921,9.900990099,9.900990099,9.900990099,9.900990099,8,8,8,8,8,6.222222222,7.888888889,6.222222222,6.625,6.444444444,6.444444444
119--129,6,0.1,0,1,,, , ,1,1,119,7,9,9,,0,6,8,10,2,5,19,Polish,16,3,5,2,1,3,1,lawyer/gov.position,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,50,15,10,10,10,5,,,,,,,70,5,5,10,5,5,8,10,10,10,10,7.9,7.6,7,6.8,6.7,7.4,129,10,10,10,10,9,,10,8,2,5,,Economics,8,2,1,1,3,3,3,entrepeneur,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,40,20,20,20,,,,,,,,,39.6039604,20.79207921,9.900990099,9.900990099,9.900990099,9.900990099,8,8,8,8,8,6.222222222,7.888888889,6.222222222,6.625,6.444444444,6.444444444
119--130,3,-0.01,0,1,,, , ,1,1,119,6,9,8,9,7,,8,7,2,5,19,Polish,16,3,5,2,1,3,1,lawyer/gov.position,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,50,15,10,10,10,5,,,,,,,70,5,5,10,5,5,8,10,10,10,10,7.9,7.6,7,6.8,6.7,7.4,130,7,6,6,6,6,6,8,3,2,2,20,Engineering,5,4,4,1,1,6,2,don't know,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,80,10,10,,,,,,,,,,60,20,10,10,0,0,5,6,6,6,6,7.333333333,8.777777778,7.666666667,6.555555556,6.777777778,7.222222222
120--130,1,-0.23,0,1,0,,0, ,1,1,120,9,9,9,8,10,2,9,5,2,2,20,English,6,3,1,4,5,4,3,Writer,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,10,10,35,35,8,2,,,,,,,50,1,20,20,2,7,6,8,8,8,9,7.8,6.6,7.5,7.3,6.9,7.2,130,9,6,8,6,6,6,9,5,2,2,20,Engineering,5,4,4,1,1,6,2,don't know,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,80,10,10,,,,,,,,,,60,20,10,10,0,0,5,6,6,6,6,7.333333333,8.777777778,7.666666667,6.555555556,6.777777778,7.222222222
132--140,4,0.13,1,1,,, , ,1,1,132,8,9,9,9,9,8,9,7,1,0,27,Finance,8,2,10,1,1,7,2,Asset Management,7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,23.25581395,16.27906977,16.27906977,16.27906977,11.62790698,16.27906977,22.72772723,15.90840916,13.63863614,15.90840916,13.63863614,18.17818218,8,10,10,9,10,7.8,7.25,7,7.2,7.2,7.4,140,7,7,7,7,7,7,7,7,1,2,29,MBA,8,2,5,5,1,5,2,Investment Banking,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,14.89361702,19.14893617,17.0212766,14.89361702,14.89361702,19.14893617,15.55688862,17.77644471,17.77644471,15.55688862,15.55688862,17.77644471,7,7,9,8,8,8,8.25,8.25,8.5,9,8
134--137,2,-0.1,0,1,0,,0, ,1,1,134,8,9,7,9,10,8,9,6,2,1,23,marine geophysics,10,2,8,10,1,5,3,professor,2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,13.63636364,20.45454545,20.45454545,15.90909091,15.90909091,13.63636364,20.51205121,15.38153815,12.82128213,20.51205121,12.82128213,17.95179518,7,8,8,8,8,6.5,8.4,8.3,6.2,6.8,6.1,137,9,9,9,8,8,7,9,6,2,2,26,Business,8,4,1,1,1,4,1,Real Estate,8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,17.39,17.39,15.22,17.39,13.04,19.57,21.95121951,14.63414634,12.19512195,19.51219512,12.19512195,19.51219512,14.89148915,17.02170217,17.02170217,17.02170217,14.89148915,19.15191519,7,9,8,9,8,7.5,7.5,7,8.666666667,7.333333333,7.5
135--140,3,-0.34,1,1,1,,0, ,1,1,135,8,8,8,8,,,8,7,2,2,26,theory,3,2,9,6,1,7,2,teaching,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,16.32653061,16.32653061,16.32653061,18.36734694,18.36734694,14.28571429,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6,6.3,7.75,7.5,5.8,6.4,5.8,140,6.5,8,8,7,7,7,7,7,2,2,29,MBA,8,2,5,5,1,5,2,Investment Banking,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,14.89361702,19.14893617,17.0212766,14.89361702,14.89361702,19.14893617,15.55688862,17.77644471,17.77644471,15.55688862,15.55688862,17.77644471,7,7,9,8,8,8,8.25,8.25,8.5,9,8
135--141,5,-0.01,0,1,1,,0, ,1,1,135,7,,,8,8,,6,5,2,2,26,theory,3,2,9,6,1,7,2,teaching,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,16.32653061,16.32653061,16.32653061,18.36734694,18.36734694,14.28571429,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6,6.3,7.75,7.5,5.8,6.4,5.8,141,8,9,8,8,6,5,8,8,2,2,28,MBA,8,3,4,4,1,6,2,MBA,7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,20.83,20.83,16.67,16.67,6.25,18.75,21.73913043,19.56521739,8.695652174,15.2173913,17.39130435,17.39130435,19.05,7.14,19.05,23.81,21.43,9.52,7,9,8,8,6,5.75,6.333333333,6.333333333,7,6.5,5.75
142--159,2,-0.57,1,1,0,1,3,0,1,1,142,5,10,9,8,7,5,9,9,0,,24,political science,13,2,1,4,1,5,2,professor,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,20,17.5,15,17.5,15,15,19.5680432,13.03869613,17.38826117,19.5680432,15.21847815,15.21847815,9,9,9,10,7,7.3125,7.1875,7.6875,6.6875,6.538461538,6.625,159,7,7,7,6,,4,7,5,0,3,28,Physics,10,2,7,2,1,6,2,Academic,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,15.91,20.45,20.45,20.45,11.36,11.36,22.22222222,22.22222222,16.66666667,19.44444444,5.555555556,13.88888889,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,7,4.125,7.1875,8,5.875,7.166666667,5.0625
153--159,4,0.44,0,1,0,1,2,0,1,1,153,5,5,6,8,,5,5,5,0,4,28,Modern Chinese Literature,7,4,1,1,2,6,3,professor,2,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,6,9.76,19.51,19.51,14.63,19.51,17.07,15.2173913,17.39130435,17.39130435,17.39130435,17.39130435,15.2173913,23.52529494,17.64647071,14.70705859,14.70705859,14.70705859,14.70705859,7,7,6,7,6,6.3125,7.8125,7.1875,5.5,6.461538462,5.6875,159,7,7,7,6,6,5,7,8,0,3,28,Physics,10,2,7,2,1,6,2,Academic,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,15.91,20.45,20.45,20.45,11.36,11.36,22.22222222,22.22222222,16.66666667,19.44444444,5.555555556,13.88888889,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,7,4.125,7.1875,8,5.875,7.166666667,5.0625
147--160,1,0.25,0,1,0,,2, ,1,1,147,8,6,7,8,9,7,8,10,1,7,26,Business,8,4,3,3,5,5,1,Business,7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5,18,18,20,18,16,10,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,25,12.5,12.5,25,12.5,12.5,8,7,8,9,7,6.75,7.125,7.133333333,8,6.533333333,6.375,160,8,10,9,8,8,7,6,8,1,4,29,Business/ Finance/ Real Estate,8,1,3,4,2,5,2,Real Estate/ Private Equity,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,16,18,18,18,14,16,19.56521739,15.2173913,17.39130435,17.39130435,15.2173913,15.2173913,14.28714257,20.40591882,16.32673465,16.32673465,18.36632673,14.28714257,8,8,9,8,9,7.375,7.375,7.4375,8,7.875,6.75
149--160,15,-0.03,0,1,0,,5, ,1,1,149,9,7,8,8,8,6,8,6,0,5,28,International Relations,13,2,3,3,1,5,2,Professor and Government Official,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,4,8.51,19.15,19.15,19.15,19.15,14.89,25,10,17.5,22.5,20,5,28.57,8.57,20,20,14.29,8.57,8,8,8,8,8,7.3125,7.0625,7.4375,6.5,6.857142857,6.9375,160,6,9,9,6,8,,5,5,0,4,29,Business/ Finance/ Real Estate,8,1,3,4,2,5,2,Real Estate/ Private Equity,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,16,18,18,18,14,16,19.56521739,15.2173913,17.39130435,17.39130435,15.2173913,15.2173913,14.28714257,20.40591882,16.32673465,16.32673465,18.36632673,14.28714257,8,8,9,8,9,7.375,7.375,7.4375,8,7.875,6.75
156--160,5,-0.03,1,1,,, , ,1,1,156,7,10,10,9,10,10,8,10,1,5,30,Business,8,1,1,1,2,6,3,Marketing and Media,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,14,18,16,18,18,16,18.86792453,15.09433962,15.09433962,18.86792453,15.09433962,16.98113208,18.87188719,15.09150915,15.09150915,18.87188719,15.09150915,16.98169817,8,10,10,9,10,7,7.875,8,7.125,7.933333333,6.5625,160,8,10,8,9,9,10,8,9,1,4,29,Business/ Finance/ Real Estate,8,1,3,4,2,5,2,Real Estate/ Private Equity,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,16,18,18,18,14,16,19.56521739,15.2173913,17.39130435,17.39130435,15.2173913,15.2173913,14.28714257,20.40591882,16.32673465,16.32673465,18.36632673,14.28714257,8,8,9,8,9,7.375,7.375,7.4375,8,7.875,6.75
154--161,9,0.51,1,1,0,,2, ,1,1,154,10,8,9,9,8,6,8,5,0,,27,MBA,8,2,8,3,6,4,1,finance,7,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7,15.38,17.31,17.31,17.31,17.31,15.38,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,8,9,9,9,9,7.75,7.75,7.5,7.2,7.571428571,6.9375,161,9,9,8,9,7,6,8,8,0,,22,Biochemistry,10,2,6,2,2,4,2,undecided,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,16.67,18.75,18.75,18.75,18.75,8.33,16,16,18,18,18,14,14.55,18.18,18.18,16.36,18.18,14.55,8,7,9,9,7,7.75,7.4375,8,7.8,7.285714286,7.25
155--161,15,-0.18,1,1,,, , ,1,1,155,8,7,7,8,7,5,7,5,0,0,27,business,8,2,5,1,2,5,1,Nonprofit,9,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3,15.09,18.87,18.87,16.98,16.98,13.21,17.39130435,17.39130435,15.2173913,19.56521739,15.2173913,15.2173913,21.95,14.63,12.2,21.95,9.76,19.51,7,10,6,8,9,7.1875,7.5,7.0625,6.733333333,6.428571429,6.625,161,7,8,8,10,7,6,7,6,0,,22,Biochemistry,10,2,6,2,2,4,2,undecided,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,16.67,18.75,18.75,18.75,18.75,8.33,16,16,18,18,18,14,14.55,18.18,18.18,16.36,18.18,14.55,8,7,9,9,7,7.75,7.4375,8,7.8,7.285714286,7.25
144--162,16,0.28,0,1,0,,0, ,1,1,144,7,7,8,8,7,7,9,5,1,,23,Nutrition/Genetics,10,2,5,2,1,5,2,research,2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,5,16,16,16,18,18,16,19.04761905,16.66666667,16.66666667,16.66666667,14.28571429,16.66666667,19.9960008,15.55688862,15.55688862,17.77644471,15.55688862,15.55688862,7,8,8,9,9,6.866666667,7.6,8.2,7.4,6.571428571,6.666666667,162,8,7,7,7,7,5,8,10,1,2,27,Biochemistry,10,4,1,1,2,6,2,pharmaceuticals and biotechnology,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,15.22,15.22,19.57,17.39,13.04,19.57,18.60465116,16.27906977,16.27906977,18.60465116,13.95348837,16.27906977,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,8,5.75,6.75,7.875,5.866666667,7.2,6
151--162,9,0.45,0,1,2,,2, ,1,1,151,9,8,7,7,6,9,8,8,0,1,28,international affairs - economic development,13,2,1,2,3,3,1,international development work,9,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,3,14.55,16.36,18.18,18.18,16.36,16.36,18.18181818,13.63636364,15.90909091,18.18181818,20.45454545,13.63636364,23.80761924,14.28857114,16.66833317,19.04809519,14.28857114,11.89881012,9,10,10,10,8,8.6875,8.125,7.466666667,7.75,6.857142857,7.666666667,162,8,7,7,7,6,9,9,6,0,2,27,Biochemistry,10,4,1,1,2,6,2,pharmaceuticals and biotechnology,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,15.22,15.22,19.57,17.39,13.04,19.57,18.60465116,16.27906977,16.27906977,18.60465116,13.95348837,16.27906977,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,8,5.75,6.75,7.875,5.866666667,7.2,6
153--163,1,0.49,0,1,0,3,2,0,1,1,153,8,8,8,8,6,7,8,7,0,4,28,Modern Chinese Literature,7,4,1,1,2,6,3,professor,2,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,6,9.76,19.51,19.51,14.63,19.51,17.07,15.2173913,17.39130435,17.39130435,17.39130435,17.39130435,15.2173913,23.52529494,17.64647071,14.70705859,14.70705859,14.70705859,14.70705859,7,7,6,7,6,6.3125,7.8125,7.1875,5.5,6.461538462,5.6875,163,8,10,8,8,8,6,8,5,0,3,26,Art Education,9,2,1,1,4,3,3,college art teacher,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,12,20,20,20,16,12,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,14.28714257,14.28714257,14.28714257,23.80523895,14.28714257,19.04619076,7,8,8,9,7,6.875,7.6875,7.6875,7.25,7,7.033333333
154--163,5,0.39,1,1,0,3,2,0,1,1,154,9,9,8,9,8,6,8,3,0,,27,MBA,8,2,8,3,6,4,1,finance,7,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7,15.38,17.31,17.31,17.31,17.31,15.38,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,8,9,9,9,9,7.75,7.75,7.5,7.2,7.571428571,6.9375,163,8,10,8,8,7,5,7,5,0,3,26,Art Education,9,2,1,1,4,3,3,college art teacher,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,12,20,20,20,16,12,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,14.28714257,14.28714257,14.28714257,23.80523895,14.28714257,19.04619076,7,8,8,9,7,6.875,7.6875,7.6875,7.25,7,7.033333333
156--163,13,0.21,0,1,,3, ,0,1,1,156,6,9,10,7,10,8,7,6,0,5,30,Business,8,1,1,1,2,6,3,Marketing and Media,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,14,18,16,18,18,16,18.86792453,15.09433962,15.09433962,18.86792453,15.09433962,16.98113208,18.87188719,15.09150915,15.09150915,18.87188719,15.09150915,16.98169817,8,10,10,9,10,7,7.875,8,7.125,7.933333333,6.5625,163,8,9,9,8,8,8,8,6,0,3,26,Art Education,9,2,1,1,4,3,3,college art teacher,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,12,20,20,20,16,12,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,14.28714257,14.28714257,14.28714257,23.80523895,14.28714257,19.04619076,7,8,8,9,7,6.875,7.6875,7.6875,7.25,7,7.033333333
146--164,1,0.32,1,1,,, , ,1,1,146,10,9,10,10,8,8,10,10,1,,36,Comparative Literature,6,2,1,7,4,7,1,Education,2,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,5,18.18,18.18,18.18,18.18,13.64,13.64,20,13.33333333,15.55555556,20,13.33333333,17.77777778,20,13.33,15.56,20,13.33,17.78,8,8,8,8,8,5.5,7.125,7.6,5.375,6.2,5.5,164,9,10,10,8,8,8,10,10,1,3,27,Philosophy,7,2,1,1,1,6,2,academic,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,20.51,23.08,20.51,17.95,2.56,15.38,24.24242424,15.15151515,15.15151515,15.15151515,15.15151515,15.15151515,21.87343797,15.62531241,15.62531241,15.62531241,15.62531241,15.62531241,7,9,6,9,4,6.6875,7.8125,8.125,7,6.857142857,6.8125
152--164,9,0.25,0,1,0,,1, ,1,1,152,6,8,8,7,,9,7,7,0,1,27,Political Science,13,4,2,3,1,4,3,professor,2,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,5,14,20,20,14,18,14,16.66666667,21.42857143,16.66666667,16.66666667,16.66666667,11.9047619,24.32243224,13.51135114,13.51135114,24.32243224,8.110811081,16.22162216,7,9,8,10,8,7.125,7.9375,7.866666667,5.6,6.692307692,6.125,164,8,9,9,,,,7,5,0,3,27,Philosophy,7,2,1,1,1,6,2,academic,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,20.51,23.08,20.51,17.95,2.56,15.38,24.24242424,15.15151515,15.15151515,15.15151515,15.15151515,15.15151515,21.87343797,15.62531241,15.62531241,15.62531241,15.62531241,15.62531241,7,9,6,9,4,6.6875,7.8125,8.125,7,6.857142857,6.8125
147--165,8,0.66,0,1,0,2,2,0,1,1,147,7,7,7,5,6,5,6,6,0,7,26,Business,8,4,3,3,5,5,1,Business,7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5,18,18,20,18,16,10,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,25,12.5,12.5,25,12.5,12.5,8,7,8,9,7,6.75,7.125,7.133333333,8,6.533333333,6.375,165,7,8,8,10,8,5,8,4,0,3,30,American Studies (Masters),13,2,4,7,3,6,3,Writer,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,16.67,12.5,20.83,18.75,12.5,18.75,26.31578947,15.78947368,15.78947368,21.05263158,5.263157895,15.78947368,9.090909091,20.4520452,18.18181818,20.4520452,13.64136414,18.18181818,8,6,7,9,2,7.375,7.0625,6.8125,5.6,5.785714286,5.4
