"","pair_id","order","interest_corr","samerace","match","calls_from_female","calls_from_male","calls_to_female","calls_to_male","female_dec","male_dec","female_id","f_rate_m_attr","f_rate_m_sinc","f_rate_m_intel","f_rate_m_fun","f_rate_m_amb","f_rate_m_shar","f_rate_m_like","f_rate_m_prob","f_rate_m_met_before","f_est_matches","f_age","f_field","f_field_num","f_race","f_imp_race","f_imp_relig","f_goal","f_dat_freq","f_out_freq","f_career","f_career_num","f_like_sports","f_like_tvsports","f_like_exercise","f_like_dining","f_like_museums","f_like_art","f_like_hiking","f_like_gaming","f_like_clubbing","f_like_reading","f_like_tv","f_like_theater","f_like_movies","f_like_concerts","f_like_music","f_like_shopping","f_like_yoga","f_exp_happy","f_pref_attr","f_pref_sinc","f_pref_intel","f_pref_fun","f_pref_amb","f_pref_shar","f_genderpref_attr","f_genderpref_sinc","f_genderpref_intel","f_genderpref_fun","f_genderpref_amb","f_genderpref_shar","f_oppgender_pref_attr","f_oppgender_pref_sinc","f_oppgender_pref_intel","f_oppgender_pref_fun","f_oppgender_pref_amb","f_oppgender_pref_shar","f_rate_self_attr","f_rate_self_sinc","f_rate_self_fun","f_rate_self_intel","f_rate_self_amb","f_avg_attr","f_avg_sinc","f_avg_fun","f_avg_intel","f_avg_amb","f_avg_like","male_id","m_rate_f_attr","m_rate_f_sinc","m_rate_f_intel","m_rate_f_fun","m_rate_f_amb","m_rate_f_shar","m_rate_f_like","m_rate_f_prob","m_rate_f_met_before","m_est_matches","m_age","m_field","m_field_num","m_race","m_imp_race","m_imp_relig","m_goal","m_dat_freq","m_out_freq","m_career","m_career_num","m_like_sports","m_like_tvsports","m_like_exercise","m_like_dining","m_like_museums","m_like_art","m_like_hiking","m_like_gaming","m_like_clubbing","m_like_reading","m_like_tv","m_like_theater","m_like_movies","m_like_concerts","m_like_music","m_like_shopping","m_like_yoga","m_exp_happy","m_pref_attr","m_pref_sinc","m_pref_intel","m_pref_fun","m_pref_amb","m_pref_shar","m_gender_pref_attr","m_gender_pref_sinc","m_gender_pref_intel","m_gender_pref_fun","m_gender_pref_amb","m_gender_pref_shar","m_opp_gender_pref_attr","m_opp_gender_pref_sinc","m_opp_gender_pref_intel","m_opp_gender_pref_fun","m_opp_gender_pref_amb","m_opp_gender_pref_shar","m_rate_self_attr","m_rate_self_sinc","m_rate_self_fun","m_rate_self_intel","m_rate_self_amb","m_avg_attr","m_avg_sinc","m_avg_fun","m_avg_intel","m_avg_amb","m_avg_like","PCAVector1","PCAVector2"
"874","112--131",6,0.35,0,0,NA,0,NA,0,0,0,112,2,7,6,2,5,1,2,5,2,8,20,"Sociology",3,6,1,1,1,3,1,"Social work",11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,15,15,20,25,10,15,NA,NA,NA,NA,NA,NA,47.36842105,15.78947368,10.52631579,21.05263158,0,5.263157895,9,10,9,9,9,7.9,7.3,7.5,7,6.2,7.4,131,5,5,5,5,5,5,5,1,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.71888881144223,-1.82443558093758
"875","113--131",9,0.45,0,0,0,0,1,0,0,0,113,4,9,8,3,6,2,3,5,2,0,21,"Economics",8,2,3,8,1,4,1,"What a question!",10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,7,15,15,25,25,15,5,NA,NA,NA,NA,NA,NA,28.57142857,4.761904762,14.28571429,23.80952381,9.523809524,19.04761905,8,10,10,8,9,6.4,6.7,7,6.6,6,6.5,131,5,5,5,5,5,5,5,1,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.85668960819064,-0.00653904182913331
"876","114--131",7,0.13,0,0,NA,0,NA,0,0,0,114,5,6,4,5,3,3,5,6,2,3,20,"Economics, English",8,1,2,4,2,7,4,NA,NA,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2,6,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,7,9,8,6,7,5,6.8,7.1,5.5,6.111111111,5.5,131,5,5,5,5,5,5,5,1,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.99135592378013,1.77980657314822
"877","115--131",1,0.3,0,0,0,0,0,0,0,0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,"psychology",3,2,10,7,1,5,1,"psychologist",3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,3,20,10,30,20,15,5,NA,NA,NA,NA,NA,NA,40,10,20,20,0,10,8,7,8,9,8,7.222222222,6.333333333,6.555555556,7.222222222,6.444444444,7,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.78406869697552,-1.02216228028724
"878","116--131",8,0.54,0,0,0,0,2,0,0,0,116,4,8,7,3,7,0,5,6,2,4,21,"political science",13,2,4,1,1,1,1,"if only i knew",10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7,15,15,25,25,20,0,NA,NA,NA,NA,NA,NA,30,5,10,30,5,20,8,9,8,9,9,6.7,6.777777778,6.5,6.3,6.3,6.5,131,5,5,5,5,5,5,5,1,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.84825786096483,-0.0540890375812764
"879","117--131",2,-0.17,0,0,0,0,0,0,0,0,117,NA,NA,NA,NA,NA,NA,NA,NA,2,1,21,"Economics, Sociology",8,2,8,10,1,3,1,"Marketing, Advertising",7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6,20,10,20,20,20,10,NA,NA,NA,NA,NA,NA,20,10,15,20,15,20,8,7,8,8,8,7.777777778,7.222222222,7.444444444,7.444444444,7.444444444,7.666666667,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.69300201646615,-2.42895224956919
"880","119--131",5,0.48,0,0,NA,0,NA,0,0,0,119,2,7,6,2,NA,1,3,7,2,5,19,"Polish",16,3,5,2,1,3,1,"lawyer/gov.position",1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,50,15,10,10,10,5,NA,NA,NA,NA,NA,NA,70,5,5,10,5,5,8,10,10,10,10,7.9,7.6,7,6.8,6.7,7.4,131,6,6,6,6,6,6,6,1,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.71791898472403,-1.82971085974857
"881","120--131",3,0.54,0,0,0,0,0,0,0,0,120,7,8,6,5,7,2,5,5,2,2,20,"English",6,3,1,4,5,4,3,"Writer",6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,10,10,35,35,8,2,NA,NA,NA,NA,NA,NA,50,1,20,20,2,7,6,8,8,8,9,7.8,6.6,7.5,7.3,6.9,7.2,131,6,6,7,6,6,2,5,1,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-2.7271116734103,-1.8948693187473
"882","121--131",10,0.52,0,0,NA,0,NA,0,1,0,121,7,10,10,8,10,1,9,1,2,2,21,"psychology and english",3,2,8,1,5,7,1,"no idea, maybe a professor",2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,2,35,15,5,30,15,0,NA,NA,NA,NA,NA,NA,60,5,0,20,0,15,2,9,9,7,9,4.8,6.5,7.2,4.8,5.4,4.5,131,7,5,10,6,7,2,2,NA,2,0,19,"Computer Science",5,4,4,1,2,7,3,"Not Sure",10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,NA,NA,NA,NA,NA,NA,30,10,20,20,10,10,4,6,4,6,6,4.428571429,7.857142857,6.714285714,4,6.333333333,4.571428571,-3.06602396327436,2.94701306096712
"883","132--137",5,0.16,0,0,NA,NA,NA,NA,0,1,132,7,9,7,9,6,9,8,7,1,0,27,"Finance",8,2,10,1,1,7,2,"Asset Management",7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,23.25581395,16.27906977,16.27906977,16.27906977,11.62790698,16.27906977,22.72772723,15.90840916,13.63863614,15.90840916,13.63863614,18.17818218,8,10,10,9,10,7.8,7.25,7,7.2,7.2,7.4,137,8,8,9,8,9,7,7,6,1,2,26,"Business",8,4,1,1,1,4,1,"Real Estate",8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,17.39,17.39,15.22,17.39,13.04,19.57,21.95121951,14.63414634,12.19512195,19.51219512,12.19512195,19.51219512,14.89148915,17.02170217,17.02170217,17.02170217,14.89148915,19.15191519,7,9,8,9,8,7.5,7.5,7,8.666666667,7.333333333,7.5,3.11837004440814,-1.59754258203916
"884","132--138",2,0.34,1,0,NA,NA,NA,NA,0,1,132,8,8,8,8,8,8,8,5,2,0,27,"Finance",8,2,10,1,1,7,2,"Asset Management",7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,23.25581395,16.27906977,16.27906977,16.27906977,11.62790698,16.27906977,22.72772723,15.90840916,13.63863614,15.90840916,13.63863614,18.17818218,8,10,10,9,10,7.8,7.25,7,7.2,7.2,7.4,138,8,7,4,6,6,4,8,6,2,3,32,"MBA",8,2,9,6,1,3,2,"investment banking",7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,20,20,20,20,6.67,13.33,20.93023256,20.93023256,16.27906977,18.60465116,6.976744186,16.27906977,18.36632673,18.36632673,16.32673465,16.32673465,16.32673465,14.28714257,8,8,8,8,8,7.5,7.5,8.25,7.666666667,7.666666667,7,2.69526176885607,-1.63566131024258
"885","132--139",3,0.52,0,0,NA,0,NA,0,0,1,132,5,7,9,5,9,5,5,5,2,0,27,"Finance",8,2,10,1,1,7,2,"Asset Management",7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,23.25581395,16.27906977,16.27906977,16.27906977,11.62790698,16.27906977,22.72772723,15.90840916,13.63863614,15.90840916,13.63863614,18.17818218,8,10,10,9,10,7.8,7.25,7,7.2,7.2,7.4,139,8,NA,8,8,7,NA,8,6,2,2,37,"engineering",5,4,6,1,1,6,3,"engineering professional",2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,18.75,16.67,18.75,20.83,12.5,12.5,21.27659574,19.14893617,17.0212766,19.14893617,6.382978723,17.0212766,19.6080392,19.6080392,15.68843116,19.6080392,11.75882412,13.72862714,8,8,9,9,6,6.25,6.75,7.333333333,6,6.75,6,0.0127377096138401,-1.81223943213688
"886","132--140",4,0.13,1,1,NA,NA,NA,NA,1,1,132,8,9,9,9,9,8,9,7,1,0,27,"Finance",8,2,10,1,1,7,2,"Asset Management",7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,23.25581395,16.27906977,16.27906977,16.27906977,11.62790698,16.27906977,22.72772723,15.90840916,13.63863614,15.90840916,13.63863614,18.17818218,8,10,10,9,10,7.8,7.25,7,7.2,7.2,7.4,140,7,7,7,7,7,7,7,7,1,2,29,"MBA",8,2,5,5,1,5,2,"Investment Banking",7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,14.89361702,19.14893617,17.0212766,14.89361702,14.89361702,19.14893617,15.55688862,17.77644471,17.77644471,15.55688862,15.55688862,17.77644471,7,7,9,8,8,8,8.25,8.25,8.5,9,8,4.4156138552017,-1.52814937597751
"887","132--141",1,0.05,0,0,NA,NA,NA,NA,0,1,132,5,8,8,8,7,7,7,7,1,0,27,"Finance",8,2,10,1,1,7,2,"Asset Management",7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,23.25581395,16.27906977,16.27906977,16.27906977,11.62790698,16.27906977,22.72772723,15.90840916,13.63863614,15.90840916,13.63863614,18.17818218,8,10,10,9,10,7.8,7.25,7,7.2,7.2,7.4,141,8,7,7,7,7,8,7,7,1,2,28,"MBA",8,3,4,4,1,6,2,"MBA",7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,20.83,20.83,16.67,16.67,6.25,18.75,21.73913043,19.56521739,8.695652174,15.2173913,17.39130435,17.39130435,19.05,7.14,19.05,23.81,21.43,9.52,7,9,8,8,6,5.75,6.333333333,6.333333333,7,6.5,5.75,-0.217894686777755,-1.81999894780102
"888","133--137",1,-0.15,1,0,0,NA,0,NA,0,0,133,7,7,7,8,6,8,7,7,2,NA,24,"electrical engineering",5,4,8,6,1,6,5,"a research position",2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,17.07317073,17.07317073,17.07317073,17.07317073,14.63414634,17.07317073,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,5.2,9,9,7.2,7.4,5.6,137,6,10,10,6,7,5,7,6,2,2,26,"Business",8,4,1,1,1,4,1,"Real Estate",8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,17.39,17.39,15.22,17.39,13.04,19.57,21.95121951,14.63414634,12.19512195,19.51219512,12.19512195,19.51219512,14.89148915,17.02170217,17.02170217,17.02170217,14.89148915,19.15191519,7,9,8,9,8,7.5,7.5,7,8.666666667,7.333333333,7.5,2.96782398222435,0.0941963647752169
"889","134--137",2,-0.1,0,1,0,NA,0,NA,1,1,134,8,9,7,9,10,8,9,6,2,1,23,"marine geophysics",10,2,8,10,1,5,3,"professor",2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,13.63636364,20.45454545,20.45454545,15.90909091,15.90909091,13.63636364,20.51205121,15.38153815,12.82128213,20.51205121,12.82128213,17.95179518,7,8,8,8,8,6.5,8.4,8.3,6.2,6.8,6.1,137,9,9,9,8,8,7,9,6,2,2,26,"Business",8,4,1,1,1,4,1,"Real Estate",8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,17.39,17.39,15.22,17.39,13.04,19.57,21.95121951,14.63414634,12.19512195,19.51219512,12.19512195,19.51219512,14.89148915,17.02170217,17.02170217,17.02170217,14.89148915,19.15191519,7,9,8,9,8,7.5,7.5,7,8.666666667,7.333333333,7.5,3.00435464143183,-0.0591549807923327
"890","135--137",4,-0.1,0,0,1,NA,0,NA,0,1,135,8,5,NA,NA,NA,5,6,6,2,2,26,"theory",3,2,9,6,1,7,2,"teaching",2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,16.32653061,16.32653061,16.32653061,18.36734694,18.36734694,14.28571429,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6,6.3,7.75,7.5,5.8,6.4,5.8,137,7,8,8,7,7,6,7,6,2,2,26,"Business",8,4,1,1,1,4,1,"Real Estate",8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,17.39,17.39,15.22,17.39,13.04,19.57,21.95121951,14.63414634,12.19512195,19.51219512,12.19512195,19.51219512,14.89148915,17.02170217,17.02170217,17.02170217,14.89148915,19.15191519,7,9,8,9,8,7.5,7.5,7,8.666666667,7.333333333,7.5,2.95081960579009,0.794139187860505
"891","133--138",3,-0.51,0,0,0,NA,0,NA,0,0,133,7,6,8,7,8,6,6,5,2,NA,24,"electrical engineering",5,4,8,6,1,6,5,"a research position",2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,17.07317073,17.07317073,17.07317073,17.07317073,14.63414634,17.07317073,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,5.2,9,9,7.2,7.4,5.6,138,3,8,8,9,8,1,1,1,2,3,32,"MBA",8,2,9,6,1,3,2,"investment banking",7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,20,20,20,20,6.67,13.33,20.93023256,20.93023256,16.27906977,18.60465116,6.976744186,16.27906977,18.36632673,18.36632673,16.32673465,16.32673465,16.32673465,14.28714257,8,8,8,8,8,7.5,7.5,8.25,7.666666667,7.666666667,7,2.54471570667227,0.0560776365717913
"892","134--138",4,-0.06,1,0,0,NA,0,NA,1,0,134,7,8,9,8,7,8,7,5,2,1,23,"marine geophysics",10,2,8,10,1,5,3,"professor",2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,13.63636364,20.45454545,20.45454545,15.90909091,15.90909091,13.63636364,20.51205121,15.38153815,12.82128213,20.51205121,12.82128213,17.95179518,7,8,8,8,8,6.5,8.4,8.3,6.2,6.8,6.1,138,3,8,8,2,7,1,1,8,2,3,32,"MBA",8,2,9,6,1,3,2,"investment banking",7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,20,20,20,20,6.67,13.33,20.93023256,20.93023256,16.27906977,18.60465116,6.976744186,16.27906977,18.36632673,18.36632673,16.32673465,16.32673465,16.32673465,14.28714257,8,8,8,8,8,7.5,7.5,8.25,7.666666667,7.666666667,7,2.58124636587976,-0.0972737089957582
"893","135--138",1,-0.3,1,0,1,NA,0,NA,1,0,135,8,8,8,NA,NA,2,7,6,2,2,26,"theory",3,2,9,6,1,7,2,"teaching",2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,16.32653061,16.32653061,16.32653061,18.36734694,18.36734694,14.28571429,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6,6.3,7.75,7.5,5.8,6.4,5.8,138,4,6,6,1,7,1,1,8,2,3,32,"MBA",8,2,9,6,1,3,2,"investment banking",7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,20,20,20,20,6.67,13.33,20.93023256,20.93023256,16.27906977,18.60465116,6.976744186,16.27906977,18.36632673,18.36632673,16.32673465,16.32673465,16.32673465,14.28714257,8,8,8,8,8,7.5,7.5,8.25,7.666666667,7.666666667,7,2.52771133023801,0.756020459657079
"894","133--139",4,0.25,1,0,0,0,0,0,0,1,133,6,5,5,6,6,7,7,7,2,NA,24,"electrical engineering",5,4,8,6,1,6,5,"a research position",2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,17.07317073,17.07317073,17.07317073,17.07317073,14.63414634,17.07317073,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,5.2,9,9,7.2,7.4,5.6,139,6,8,10,6,8,NA,6,7,2,2,37,"engineering",5,4,6,1,1,6,3,"engineering professional",2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,18.75,16.67,18.75,20.83,12.5,12.5,21.27659574,19.14893617,17.0212766,19.14893617,6.382978723,17.0212766,19.6080392,19.6080392,15.68843116,19.6080392,11.75882412,13.72862714,8,8,9,9,6,6.25,6.75,7.333333333,6,6.75,6,-0.137808352569957,-0.120500485322507
"895","134--139",5,0.15,0,0,0,0,0,0,0,1,134,7,7,8,5,8,5,6,6,2,1,23,"marine geophysics",10,2,8,10,1,5,3,"professor",2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,13.63636364,20.45454545,20.45454545,15.90909091,15.90909091,13.63636364,20.51205121,15.38153815,12.82128213,20.51205121,12.82128213,17.95179518,7,8,8,8,8,6.5,8.4,8.3,6.2,6.8,6.1,139,7,9,9,7,6,NA,7,6,2,2,37,"engineering",5,4,6,1,1,6,3,"engineering professional",2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,18.75,16.67,18.75,20.83,12.5,12.5,21.27659574,19.14893617,17.0212766,19.14893617,6.382978723,17.0212766,19.6080392,19.6080392,15.68843116,19.6080392,11.75882412,13.72862714,8,8,9,9,6,6.25,6.75,7.333333333,6,6.75,6,-0.101277693362471,-0.273851830890056
"896","135--139",2,0.28,0,0,1,0,0,0,1,0,135,7,8,NA,8,4,6,6,NA,2,2,26,"theory",3,2,9,6,1,7,2,"teaching",2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,16.32653061,16.32653061,16.32653061,18.36734694,18.36734694,14.28571429,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6,6.3,7.75,7.5,5.8,6.4,5.8,139,6,NA,NA,6,5,NA,6,7,2,2,37,"engineering",5,4,6,1,1,6,3,"engineering professional",2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,18.75,16.67,18.75,20.83,12.5,12.5,21.27659574,19.14893617,17.0212766,19.14893617,6.382978723,17.0212766,19.6080392,19.6080392,15.68843116,19.6080392,11.75882412,13.72862714,8,8,9,9,6,6.25,6.75,7.333333333,6,6.75,6,-0.154812729004215,0.579442337762781
"897","133--140",5,-0.35,0,0,0,NA,0,NA,0,0,133,8,7,7,8,8,7,7,6,2,NA,24,"electrical engineering",5,4,8,6,1,6,5,"a research position",2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,17.07317073,17.07317073,17.07317073,17.07317073,14.63414634,17.07317073,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,5.2,9,9,7.2,7.4,5.6,140,5,9,8,6,8,6,6,6,2,2,29,"MBA",8,2,5,5,1,5,2,"Investment Banking",7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,14.89361702,19.14893617,17.0212766,14.89361702,14.89361702,19.14893617,15.55688862,17.77644471,17.77644471,15.55688862,15.55688862,17.77644471,7,7,9,8,8,8,8.25,8.25,8.5,9,8,4.26506779301791,0.163589570836865
"898","134--140",1,-0.09,1,0,0,NA,0,NA,1,0,134,8,9,9,9,10,7,8,9,2,1,23,"marine geophysics",10,2,8,10,1,5,3,"professor",2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,13.63636364,20.45454545,20.45454545,15.90909091,15.90909091,13.63636364,20.51205121,15.38153815,12.82128213,20.51205121,12.82128213,17.95179518,7,8,8,8,8,6.5,8.4,8.3,6.2,6.8,6.1,140,6.5,8,7.5,7,7,NA,6.5,7,2,2,29,"MBA",8,2,5,5,1,5,2,"Investment Banking",7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,14.89361702,19.14893617,17.0212766,14.89361702,14.89361702,19.14893617,15.55688862,17.77644471,17.77644471,15.55688862,15.55688862,17.77644471,7,7,9,8,8,8,8.25,8.25,8.5,9,8,4.30159845222539,0.0102382252693153
"899","135--140",3,-0.34,1,1,1,NA,0,NA,1,1,135,8,8,8,8,NA,NA,8,7,2,2,26,"theory",3,2,9,6,1,7,2,"teaching",2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,18.18,22.73,18.18,13.64,13.64,13.64,16.32653061,16.32653061,16.32653061,18.36734694,18.36734694,14.28571429,18.75,16.67,14.58,18.75,18.75,12.5,9,10,7,9,6,6.3,7.75,7.5,5.8,6.4,5.8,140,6.5,8,8,7,7,7,7,7,2,2,29,"MBA",8,2,5,5,1,5,2,"Investment Banking",7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,14.89361702,19.14893617,17.0212766,14.89361702,14.89361702,19.14893617,15.55688862,17.77644471,17.77644471,15.55688862,15.55688862,17.77644471,7,7,9,8,8,8,8.25,8.25,8.5,9,8,4.24806341658365,0.863532393922153
"900","133--141",2,0.19,0,0,0,NA,0,NA,0,1,133,5,6,5,7,5,6,5,5,2,NA,24,"electrical engineering",5,4,8,6,1,6,5,"a research position",2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,17.07317073,17.07317073,17.07317073,17.07317073,14.63414634,17.07317073,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,5.2,9,9,7.2,7.4,5.6,141,6,10,9,9,6,5,8,8,2,2,28,"MBA",8,3,4,4,1,6,2,"MBA",7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,20.83,20.83,16.67,16.67,6.25,18.75,21.73913043,19.56521739,8.695652174,15.2173913,17.39130435,17.39130435,19.05,7.14,19.05,23.81,21.43,9.52,7,9,8,8,6,5.75,6.333333333,6.333333333,7,6.5,5.75,-0.368440748961551,-0.128260000986646
"901","134--141",3,-0.1,0,0,0,NA,0,NA,0,1,134,6,5,6,5,6,4,5,2,2,1,23,"marine geophysics",10,2,8,10,1,5,3,"professor",2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,13.63636364,20.45454545,20.45454545,15.90909091,15.90909091,13.63636364,20.51205121,15.38153815,12.82128213,20.51205121,12.82128213,17.95179518,7,8,8,8,8,6.5,8.4,8.3,6.2,6.8,6.1,141,7,8,8,7,6,5,7,7,2,2,28,"MBA",8,3,4,4,1,6,2,"MBA",7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,20.83,20.83,16.67,16.67,6.25,18.75,21.73913043,19.56521739,8.695652174,15.2173913,17.39130435,17.39130435,19.05,7.14,19.05,23.81,21.43,9.52,7,9,8,8,6,5.75,6.333333333,6.333333333,7,6.5,5.75,-0.331910089754066,-0.281611346554195
